[2018-09-09 16:24:16.977] Starting up round ID 2226.
[2018-09-09 16:24:16.977] -------------------------
[2018-09-09 16:29:35.299] ATTACK: TwoTar/(Deeja-Chee) has thrown the folder (Xenobiology Lab (169, 101, 2))
[2018-09-09 17:00:16.186] ATTACK: Wicker0/(Harlow Moriarty) has thrown the floor tile (Port Primary Hallway (81, 141, 2))
[2018-09-09 17:00:26.238] ATTACK: GreenTea98/(Helps-The-Station) has climbed onto [reinforced table] (Kitchen (146, 135, 2))
[2018-09-09 17:00:32.153] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 65.9)  (Kitchen (152, 140, 2))
[2018-09-09 17:00:35.590] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 58)  (Kitchen (152, 140, 2))
[2018-09-09 17:00:38.697] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 50.2)  (Kitchen (152, 140, 2))
[2018-09-09 17:00:40.845] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 43.1)  (Kitchen (152, 140, 2))
[2018-09-09 17:00:43.124] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 34.8)  (Kitchen (152, 140, 2))
[2018-09-09 17:00:45.562] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 27.7)  (Kitchen (152, 140, 2))
[2018-09-09 17:00:48.518] ATTACK: *no key*/(Pete) has attacked *no key*/(monkey (227)) (NEWHP: 20.3)  (Kitchen (152, 140, 2))
[2018-09-09 17:01:06.436] ATTACK: Catmanpop/(Sona Haku) has climbed onto [reinforced table] (Bar (143, 134, 2))
[2018-09-09 17:01:11.051] ATTACK: DoopsBoops/(Spencer Catherina) has thrown the glass (Auxillary Base (44, 159, 2))
[2018-09-09 17:01:11.205] ATTACK: Catmanpop/(Sona Haku) has grabbed *no key*/(Helps-The-Station) passive grab (NEWHP: -216.9)  (Bar (145, 135, 2))
[2018-09-09 17:01:13.457] ATTACK: DoopsBoops/(Spencer Catherina) has thrown the plasteel (Auxillary Base (44, 159, 2))
[2018-09-09 17:01:19.101] ATTACK: DoopsBoops/(Spencer Catherina) has thrown the metal rod (Auxiliary Base Construction (46, 159, 2))
[2018-09-09 17:01:23.521] ATTACK: DoopsBoops/(Spencer Catherina) has thrown the metal (Auxiliary Base Construction (45, 159, 2))
[2018-09-09 17:01:25.313] ATTACK: DoopsBoops/(Spencer Catherina) has thrown the metal (Auxiliary Base Construction (45, 159, 2))
[2018-09-09 17:01:29.891] ATTACK: Catmanpop/(Sona Haku) has stuffed *no key*/(Helps-The-Station) into the disposal unit (NEWHP: -216.9)  (Bar (143, 138, 2))
[2018-09-09 17:02:00.568] ATTACK: [grille] has electrocuted Camwarp/(Sigma Lungbarrow) (NEWHP: 25)  (Central Primary Hallway (105, 141, 2))
[2018-09-09 17:02:37.105] ATTACK: [grille] has electrocuted Camwarp/(Sigma Lungbarrow) (NEWHP: -45)  (Central Primary Hallway (105, 142, 2))
[2018-09-09 17:02:38.194] ATTACK: TwoTar/(Deeja-Chee) has thrown the used slime extract (Xenobiology Lab (168, 103, 2))
[2018-09-09 17:02:41.216] ATTACK: Catmanpop/(Sona Haku) has grabbed *no key*/(Helps-The-Station) passive grab (NEWHP: -216.9)  (Bar (143, 138, 2))
[2018-09-09 17:03:03.728] ATTACK: Catmanpop/(Sona Haku) has stuffed *no key*/(Helps-The-Station) into the disposal unit (NEWHP: -252.9)  (Kitchen (153, 133, 2))
[2018-09-09 17:03:41.261] ATTACK: Wicker0/(Harlow Moriarty) has thrown the premium cigar (Auxillary Base (111, 172, 5))
[2018-09-09 17:03:41.416] ATTACK: Wicker0/(Harlow Moriarty) has threw and hit Wicker0/(Harlow Moriarty) with [premium cigar] (NEWHP: 85.2)  (Auxillary Base (110, 172, 5))
[2018-09-09 17:03:51.112] ATTACK: Wicker0/(Harlow Moriarty) has thrown the glass (Auxillary Base (110, 172, 5))
[2018-09-09 17:03:59.884] ATTACK: [grille] has electrocuted Catmanpop/(Sona Haku) (NEWHP: -71.1)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:03:59.988] ATTACK: [grille] has electrocuted Catmanpop/(Sona Haku) (NEWHP: -154.1)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:00.899] ATTACK: DoopsBoops/(Spencer Catherina) has thrown the glass (Auxillary Base (108, 176, 5))
[2018-09-09 17:04:01.332] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -222.6)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:01.787] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -308.6)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:02.246] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -398.6)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:02.463] ATTACK: DoopsBoops/(Spencer Catherina) has thrown the metal rod (Auxillary Base (108, 176, 5))
[2018-09-09 17:04:02.691] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -439.1)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:02.994] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -515.5)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:03.304] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:03.502] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:04.069] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:04.303] ATTACK: DoopsBoops/(Spencer Catherina) has thrown the metal (Auxillary Base (108, 176, 5))
[2018-09-09 17:04:04.680] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:04.898] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:05.479] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:05.740] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:06.040] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:06.332] ATTACK: DoopsBoops/(Spencer Catherina) has thrown the plasteel (Auxillary Base (108, 176, 5))
[2018-09-09 17:04:06.442] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:06.642] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:06.944] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:07.698] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:07.998] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:08.465] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:08.657] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:09.104] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:09.355] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:09.610] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:09.809] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:10.108] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:10.613] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:11.977] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:12.425] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:12.908] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:13.152] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:13.457] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:13.867] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:14.273] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:14.582] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:15.600] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:16.014] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:16.203] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:16.603] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:17.053] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:17.255] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:17.504] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:17.904] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:18.103] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:18.407] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:19.155] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:20.406] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:21.383] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:21.533] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:21.829] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:22.444] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:22.751] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:23.931] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:24.179] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:24.642] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:24.884] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:25.147] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:25.398] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:25.700] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:25.901] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:26.099] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:26.299] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:28.219] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:28.667] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:28.969] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:29.718] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:30.022] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:30.475] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:30.771] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:31.077] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:31.321] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:31.525] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:31.800] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:33.134] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:33.588] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:33.884] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:34.652] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:34.898] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:35.875] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:36.075] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:36.522] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:36.972] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:37.222] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:37.423] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:37.686] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:37.982] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:38.336] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:38.487] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:38.789] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:38.946] ATTACK: Wicker0/(Harlow Moriarty) has thrown the proto-kinetic accelerator (Lavaland Wastes (113, 174, 5))
[2018-09-09 17:04:39.037] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:39.240] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:39.438] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:40.226] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:40.542] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:40.940] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:41.406] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:41.712] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:42.214] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:42.469] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:42.764] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:43.070] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:43.269] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:43.549] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:43.846] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:44.103] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:44.853] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:45.393] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:45.593] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:46.006] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:46.441] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:46.635] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:47.553] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:47.755] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:48.061] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:48.304] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:48.506] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:48.756] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:49.363] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:49.722] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:50.269] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:50.668] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:50.867] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:51.119] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:51.316] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:51.823] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:52.767] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:52.968] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:53.218] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:53.611] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:53.816] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:54.014] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:54.273] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:54.876] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:55.069] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:55.347] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:55.647] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:55.991] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:56.199] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:56.393] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:56.642] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:56.841] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:57.147] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:57.444] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:57.893] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:58.400] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:58.646] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:58.851] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:59.107] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:59.408] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:04:59.706] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:05:00.158] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
[2018-09-09 17:05:00.454] ATTACK: [grille] has electrocuted *no key*/(Sona Haku) (NEWHP: -582.9)  (Waste Disposal (54, 127, 2))
